gross_over_budget,budget_2016_mm,gross_2016_mm,tickets_sold,content_rating,imdb_score,num_critic_for_reviews,num_user_for_reviews,nudity,movie_scale,movie_title,plot_keywords
0.45,134,60,7.7,R,6.5,36,84,y,large,The Cotton Club,brothers hugging|jazz|jealousy|nudity|parole violation
0.52,107,56,8.1,R,5.6,40,62,y,large,Money Train,bare breasts|breast|loan shark|subway|train
0.52,157,82,11.9,R,7.2,192,1049,y,large,Starship Troopers,alien|federation|future|military|planet
0.77,132,102,13.6,R,5.7,180,628,y,large,Hollow Man,experiment|research|scientist|suburb|surrealism
0.81,120,96,13.2,R,5.7,174,524,y,large,End of Days,atheist|ex cop|female masturbation|female nudity|lucifer
0.83,145,120,14.3,R,7.7,451,1229,y,large,Watchmen,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity
0.97,112,108,13,R,6.2,366,523,y,large,300: Rise of an Empire,army|commander|female rear nudity|greek|navy
1.17,103,120,14.4,R,8.2,606,1138,y,large,The Wolf of Wall Street,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker
1.3,116,151,18.9,R,7.8,300,458,y,large,American Gangster,death|heroin|popcorn|smuggling|vietnam
1.63,105,170,20.5,R,8.5,765,1193,y,large,Django Unchained,dynamite|historically inaccurate|ku klux klan|n word|slavery
1.67,101,168,23,R,6.4,129,336,y,large,Double Jeopardy,blood|murder|sex scene|wrongful arrest|wrongful conviction
0,28,0,0.008,R,7.3,355,504,y,medium,The Road,apocalypse|boy|food|pistol|survival
0.01,28,0,0.02,R,5.7,49,17,y,medium,Love Ranch,argentine|brothel|cancer|female full frontal nudity|fight
0.02,32,0,0.1,R,6.4,9,25,y,medium,Rapa Nui,easter island|location in title|statue|topless female nudity|two word title
0.04,33,1,0.2,R,6.4,93,138,y,medium,The Yards,best friend|corruption|fall to death|female nudity|friend
0.04,28,1,0.2,R,5.7,137,111,y,medium,What Just Happened,actor|agent|beard|cannes|hollywood
0.14,45,6,0.7,R,6.6,293,835,y,medium,The Interview,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off
0.2,29,6,0.8,R,6.2,59,198,y,medium,Idle Hands,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home
0.21,66,14,1.7,R,6.5,339,239,y,medium,Sin City: A Dame to Kill For,box office flop|female frontal nudity|female rear nudity|jackpot|rescue
0.22,36,8,1,R,7.1,161,263,y,medium,The Jacket,gulf war veteran|morgue|shot in the head|vermont|veteran
0.22,34,7,1,R,4.9,87,91,y,medium,Say It Isn't So,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding
0.22,55,12,1.7,R,6,56,175,y,medium,Pushing Tin,air traffic control|air traffic controller|female bodybuilder|job|marriage
0.25,34,8,1,R,6.7,210,71,y,medium,Taking Woodstock,female full frontal nudity|female nudity|male frontal nudity|male full frontal nudity|male nudity
0.29,35,10,1.2,R,5.4,90,89,y,medium,Unfinished Business,business trip|company|glory hole|male frontal nudity|male nudity
0.35,35,12,1.7,R,5.4,73,59,y,medium,Play It to the Bone,boxing movie|friendship|highway travel|male rear nudity|road movie
0.37,63,24,3.4,R,5.9,40,60,y,medium,Kiss of Death,beard|female nudity|police brutality|stripper|woman in lingerie
0.4,37,15,1.8,R,5.9,38,118,y,medium,9� Weeks,blindfolded woman|control|male dominance|sex game|sex in public
0.41,56,23,2.7,R,5.8,180,245,y,medium,Gamer,battle|convict|death|mind control|role playing
0.41,27,11,1.3,R,5.8,190,140,y,medium,Straw Dogs,gang rape|panties pulled down|rape|rape victim|sexual humiliation
0.46,58,26,3.9,R,6.1,47,75,y,medium,Extreme Measures,cartoon on tv|doctor|emergency room|hospital|nudity
0.47,61,29,3.6,R,7.6,250,532,y,medium,Grindhouse,anthropophagus|blood and gore|double feature|real twins playing twins|zombie
0.48,45,21,2.7,R,5.9,80,100,y,medium,My Best Friend's Girl,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding
0.48,64,31,3.9,R,7.3,259,632,y,medium,The Life Aquatic with Steve Zissou,expedition|oceanographer|sea|shark|team
0.51,33,17,2.1,R,7.1,546,405,y,medium,The Master,drifter|past life regression|psychological testing|right hand man|scientology
0.53,30,16,2.3,R,7.4,104,131,y,medium,Deconstructing Harry,marriage|novelist|panties pulled down|writer's block|writing
0.54,72,39,5.3,R,5.9,99,150,y,medium,The Story of Us,four word title|husband wife relationship|male rear nudity|marriage|summer camp
0.54,84,45,6,R,7.9,149,822,y,medium,Almost Famous,band|magazine|rolling stone magazine|smoking marijuana|tour
0.56,35,20,2.5,R,5.9,158,262,y,medium,88 Minutes,death|fbi|forensics|murder|serial killer
0.57,27,15,1.9,R,6.6,156,316,y,medium,The Weather Man,corndog|failure|funeral in the rain|new york city|weatherman
0.58,32,19,2.3,R,6.8,126,513,y,medium,The Girl Next Door,forced to strip|male rear nudity|porn actress|scantily clad female|teenager
0.59,91,53,7.3,R,8.8,315,2968,y,medium,Fight Club,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending
0.61,53,32,4.4,R,8,224,1437,y,medium,Magnolia,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline
0.65,39,26,3.2,R,7.3,323,414,y,medium,Revolutionary Road,based on novel|children|connecticut|suburb|work
0.68,29,20,2.5,R,7.7,356,398,y,medium,Eastern Promises,male pubic hair|pubic hair|russian|sex scene|turkish bath
0.69,47,33,4.3,R,5.7,126,212,y,medium,Reindeer Games,casino|christmas|christmas season|girlfriend|release from prison
